,E,rec,sr
3705,157800, 0.813 , 0.345 
3706,157900, 0.804 , 0.289 
3707,158000, 0.736 , 0.150 
3722,158100, 0.757 , 0.229 
3723,158200, 0.566 , 0.219 
3724,158300, 0.803 , 0.310 
3725,158400, 0.578 , 0.340 
3726,158500, 0.653 , 0.232 
3727,158600, 0.676 , 0.321 
3728,158700, 0.564 , 0.330 
3729,158800, 0.712 , 0.348 
3730,158900, 0.707 , 0.325 
3731,159000, 0.791 , 0.333 
3746,159100, 0.809 , 0.319 
3747,159200, 0.827 , 0.398 
3748,159300, 0.582 , 0.120 
3749,159400, 0.716 , 0.256 
3750,159500, 0.699 , 0.228 
3751,159600, 0.556 , 0.341 
3752,159700, 0.941 , 0.223 
3753,159800, 0.645 , 0.315 
3754,159900, 0.601 , 0.275 
3755,160000, 0.721 , 0.231 
3770,160100, 0.709 , 0.232 
3771,160200, 0.603 , 0.198 
3772,160300, 0.851 , 0.252 
3773,160400, 0.623 , 0.365 
3774,160500, 0.708 , 0.285 
3775,160600, 0.862 , 0.163 
3776,160700, 0.792 , 0.386 
3777,160800, 0.685 , 0.275 
3778,160900, 0.720 , 0.787 
3779,161000, 0.606 , 0.139 
3794,161100, 0.764 , 0.163 
3795,161200, 0.546 , 0.145 
3796,161300, 0.787 , 0.211 
3797,161400, 0.935 , 0.229 
3798,161500, 0.785 , 0.216 
3799,161600, 0.688 , 0.205 
3800,161700, 0.687 , 0.199 
3801,161800, 0.601 , 0.203 
3802,161900, 0.687 , 0.148 
3803,162000, 0.681 , 0.303 
3818,162100, 0.960 , 0.296 
3819,162200, 0.471 , 0.305 
3820,162300, 0.572 , 0.295 
3821,162400, 0.645 , 0.267 
3822,162500, 0.690 , 0.212 
3823,162600, 0.695 , 0.171 
3824,162700, 0.741 , 0.223 
3825,162800, 0.649 , 0.204 
3826,162900, 0.661 , 0.344 
3827,163000, 0.683 , 0.253 
3842,163100, 0.589 , 0.326 
3843,163200, 0.739 , 0.329 
3844,163300, 0.633 , 0.329 
3845,163400, 0.607 , 0.226 
3846,163500, 0.687 , 0.326 
3847,163600, 0.688 , 0.219 
3848,163700, 0.879 , 0.242 
3849,163800, 0.640 , 0.224 
3850,163900, 0.671 , 0.204 
3851,164000, 0.699 , 0.228 
3866,164100, 0.804 , 0.279 
3867,164200, 0.624 , 0.244 
3868,164300, 0.539 , 0.239 
3869,164400, 0.546 , 0.227 
3870,164500, 0.879 , 0.267 
3871,164600, 0.622 , 0.256 
3872,164700, 0.699 , 0.280 
3873,164800, 0.666 , 0.258 
3874,164900, 0.766 , 0.302 
3875,165000, 0.787 , 0.449 
3890,165100, 0.655 , 0.581 
3891,165200, 0.538 , 0.166 
3892,165300, 0.751 , 0.418 
3893,165400, 0.752 , 0.162 
3894,165500, 0.579 , 0.146 
3895,165600, 0.695 , 0.250 
3896,165700, 0.829 , 0.109 
3897,165800, 0.929 , 0.347 
3898,165900, 0.644 , 0.269 
3899,166000, 0.649 , 0.130 
3914,166100, 0.617 , 0.245 
3915,166200, 0.876 , 0.214 
3916,166300, 0.634 , 0.236 
3917,166400, 0.605 , 0.195 
3918,166500, 0.730 , 0.230 
3919,166600, 0.583 , 0.241 
3920,166700, 0.674 , 0.173 
3921,166800, 0.770 , 0.158 
3922,166900, 0.825 , 0.109 
3923,167000, 0.935 , 0.232 
3938,167100, 0.722 , 0.352 
3939,167200, 0.512 , 0.309 
3940,167300, 0.804 , 0.297 
3941,167400, 0.955 , 0.236 
3942,167500, 0.741 , 0.240 
3943,167600, 0.602 , 0.291 
3944,167700, 0.630 , 0.134 
3945,167800, 0.542 , 0.224 
3946,167900, 0.641 , 0.224 
3947,168000, 0.632 , 0.223 
3962,168100, 0.924 , 0.227 
3963,168200, 0.535 , 0.208 
3964,168300, 0.662 , 0.231 
3965,168400, 0.778 , 0.209 
3966,168500, 0.623 , 0.326 
3967,168600, 0.615 , 0.366 
